Nederlands,English,German,Russian,Indonesian,French,Chinese,Korean,Japanese,Spanish,Italian,Ambonese
Huis,House,Haus,Дом,Rumah,Maison,房子,집,家,Casa,Casa, Ruma
Deur,Door,Tür,Дверь,Pintu,Porte,门,문,ドア,Puerta,Porta, Pintu
Lamp,Lamp,Lampe,Лампа,Lampu,Lampe,灯,램프,ランプ,Lámpara,Lampada, Lampu
Bed,Bed,Bett,Кровать,Tempat tidur,Lit,床,침대,ベッド,Cama,Letto, Tampa tidor
Bank,Couch,Couch,диване,Bank,Canapé,沙發,소파,ソファー,Sofá,Divano, Bangko
Stoel,Chair,Stuhl,Стул,Kursi,Chaise,椅子,의자,椅子,Silla,Sedia, Kursi
Televisie,Television,Fernsehen,Телевидение,Televisi,Télévision,电视,텔레비전,テレビ,Televisión,Televisione, Telefisi
Keuken,Kitchen,Küche,Кухня,Dapur,Cuisine,厨房,주방,台所,Cocina,Cucina, Dapor
Douche,Shower,Dusche,Душ,Mandi,Douche,淋浴,샤워,シャワー,Ducha,Doccia, Mandi
Wc,Toilet,Toilette,Туалет,Toilet,Toilettes,厕所,화장실,トイレ,Wc,Wc, Kamar kacil
