Nederlands,English,German,Russian,Indonesian,French,Chinese,Korean,Japanese,Spanish,Italian,Ambonese,IMG
Huis,House,Haus,Дом,Rumah,Maison,房子,집,家,Casa,Casa,Ruma,resources/packs/huis/huis.png
Deur,Door,Tür,Дверь,Pintu,Porte,门,문,ドア,Puerta,Porta,Pintu,resources/packs/huis/deur.png
Lamp,Lamp,Lampe,Лампа,Lampu,Lampe,灯,램프,ランプ,Lámpara,Lampada,Lampu,resources/packs/huis/lamp.png
Bed,Bed,Bett,Кровать,Tempat tidur,Lit,床,침대,ベッド,Cama,Letto,Tampa tidor,resources/packs/huis/bed.png
Bank,Couch,Couch,диване,Bank,Canapé,沙發,소파,ソファー,Sofá,Divano,Bangko,resources/packs/huis/bank.png
Stoel,Chair,Stuhl,Стул,Kursi,Chaise,椅子,의자,椅子,Silla,Sedia,Kursi,resources/packs/huis/stoel.png
Televisie,Television,Fernsehen,Телевидение,Televisi,Télévision,电视,텔레비전,テレビ,Televisión,Televisione,Telefisi,resources/packs/huis/tv.png
Keuken,Kitchen,Küche,Кухня,Dapur,Cuisine,厨房,주방,台所,Cocina,Cucina,Dapor,resources/packs/huis/keuken.png
Douche,Shower,Dusche,Душ,Mandi,Douche,淋浴,샤워,シャワー,Ducha,Doccia,Mandi,resources/packs/huis/douche.png
Wc,Toilet,Toilette,Туалет,Toilet,Toilettes,厕所,화장실,トイレ,Wc,Wc,Kamar kacil,resources/packs/huis/toilet.png
